genere,genere_collegato,relazione
bitpop,pop,fusion of
biguine,bélé,fusion of
biguine,polka,fusion of
house,big room house,subgenre
big room house,electro house,fusion of
big room house,progressive house,fusion of
jazz,big band,subgenre
bhangra,folk,fusion of
bhangra,pop,fusion of
progressive electronic,berlin school,subgenre
berlin school,krautrock,influenced by
chinese opera,beijing opera,subgenre
chinese opera,cantonese opera,subgenre
chinese opera,yue opera,subgenre
beijing opera,chinese revolutionary opera,subgenre
korean revolutionary opera,chinese revolutionary opera,influenced by
indie pop,bedroom pop,subgenre
jazz,bebop,subgenre
hardcore punk,beatdown hardcore,subgenre
poetry,beat poetry,subgenre
pop rock,beat music,subgenre
beat music,rock and roll,influenced by
funk mandelão,beat bruxaria,subgenre
hip hop,battle rap,subgenre
brega funk,batidão romântico,subgenre
edm,breakcore,subgenre
edm,bubbling,subgenre
batidão romântico,arrocha,influenced by
batidão romântico,kizomba,influenced by
kuduro,batida,subgenre
uk garage,bassline,subgenre
bassline,house,influenced by
house,bass house,subgenre
pop,baroque pop,subgenre
baroque pop,western classical,influenced by
western classical,baroque,subgenre
pop,bardcore,subgenre
bardcore,medieval,influenced by
bard rock,avtorskaya pesnya,fusion of
bard rock,rock,fusion of
banda sinaloense,technobanda,subgenre
house,balearic beat,subgenre
country,bakersfield sound,subgenre
folk,bagad,subgenre
latin,bachata,subgenre
jazz,cape jazz,subgenre
celtic,cape breton fiddling,subgenre
canzone neomelodica,canzone napoletana,fusion of
canzone neomelodica,pop,fusion of
cantoria,repente,subgenre
c-pop,cantopop,subgenre
c-pop,mandopop,subgenre
c-pop,zhongguo feng,subgenre
psychedelic rock,canterbury scene,subgenre
canterbury scene,jazz fusion,influenced by
canterbury scene,jazz rock,influenced by
candombe beat,beat music,fusion of
candombe beat,candombe,fusion of
pop,canción melódica,subgenre
spouge,calypso,fusion of
spouge,ska,fusion of
cadence lypso,cadence rampa,fusion of
cadence lypso,calypso,fusion of
zouk,cabo zouk,subgenre
musical,cabaret,subgenre
indie pop,c86,subgenre
c86,jangle pop,influenced by
c86,post-punk,influenced by
pop,c-pop,subgenre
grindcore,cybergrind,subgenre
industrial metal,cyber metal,subgenre
cyber metal,aggrotech,influenced by
cyber metal,ebm,influenced by
cumbia,cumbia argentina,subgenre
cumbia argentina,cumbia turra,subgenre
cumbia turra,reggaeton,influenced by
cumbia argentina,cumbia villera,subgenre
cumbia villera,cumbia peruana,influenced by
cumbia mexicana,cumbia sonidera,subgenre
cumbia argentina,cumbia santafesina,subgenre
cumbia argentina,cumbia pop,subgenre
cumbia pop,latin pop,influenced by
cumbia,cumbia peruana,subgenre
cumbia peruana,psychedelic rock,influenced by
norteño,cumbia norteña mexicana,subgenre
cumbia norteña mexicana,cumbia mexicana,influenced by
cumbia,cumbia mexicana,subgenre
cumbia mexicana,rock and roll,influenced by
reggaeton,cubatón,subgenre
crust punk,neocrust,subgenre
crust punk,stenchcore,subgenre
hardcore punk,crust punk,subgenre
crunkcore,crunk,fusion of
crunkcore,edm,fusion of
crunkcore,post-hardcore,fusion of
hip hop,crunk,subgenre
crossover thrash,hardcore punk,fusion of
crossover thrash,thrash metal,fusion of
progressive rock,crossover prog,subgenre
jazz,crossover jazz,subgenre
crossbreed,darkstep,fusion of
crossbreed,hardcore techno,fusion of
jazz,crime jazz,subgenre
punk,cowpunk,subgenre
cowpunk,country,influenced by
cowpunk,rockabilly,influenced by
edm,coupé-décalé,subgenre
coupé-décalé,zouglou,influenced by
country pop,countrypolitan,subgenre
country,country yodeling,subgenre
country yodeling,traditional country,influenced by
country soul,country,fusion of
country soul,soul,fusion of
country rock,country,fusion of
country rock,rock,fusion of
country rap,country,fusion of
country rap,hip hop,fusion of
country pop,country,fusion of
country pop,pop,fusion of
traditional country,country gospel,subgenre
country gospel,gospel,influenced by
country folk,contemporary folk,fusion of
country folk,country,fusion of
blues,country blues,subgenre
traditional country,country boogie,subgenre
country boogie,boogie-woogie,influenced by
country and irish,country,fusion of
country and irish,irish folk,fusion of
sierreño,corrido tumbado,subgenre
copla,cuplé,influenced by
copla,flamenco,influenced by
jazz,cool jazz,subgenre
r&b,contemporary r&b,subgenre
jazz,contemporary jazz,subgenre
folk,contemporary folk,subgenre
gospel,contemporary gospel,subgenre
country,contemporary country,subgenre
western classical,contemporary classical,subgenre
pop,contemporary christian,subgenre
hip hop,conscious hip hop,subgenre
congolese rumba,son cubano,influenced by
electronic rock,electronic,fusion of
electronic rock,rock,fusion of
electronic,experimental electronic,subgenre
electro house,complextro,subgenre
edm,baltimore club,subgenre
compas,jazz,influenced by
compas,mambo,influenced by
compas,méringue,influenced by
rock,comedy rock,subgenre
comedy rock,comedy,influenced by
hip hop,comedy hip hop,subgenre
comedy hip hop,comedy,influenced by
post-punk,coldwave,subgenre
coladeira,morna,influenced by
electronic,club,subgenre
hip hop,cloud rap,subgenre
cloud rap,chillwave,influenced by
cloud rap,southern hip hop,influenced by
cloud rap,witch house,influenced by
traditional country,close harmony,subgenre
pop,classical crossover,subgenre
classical crossover,western classical,influenced by
rock,classic rock,subgenre
jazz,classic jazz,subgenre
country,classic country,subgenre
blues,classic blues,subgenre
pop,city pop,subgenre
chutney soca,chutney,fusion of
chutney soca,soca,fusion of
western classical,ballet,subgenre
drum and bass,dubwise,subgenre
rock,christian rock,subgenre
metal,christian metal,subgenre
hip hop,christian hip hop,subgenre
polka,schottische,subgenre
chotis madrileño,pasodoble,influenced by
chotis madrileño,schottische,influenced by
chamamé,schottische,influenced by
hip hop,chopped and screwed,subgenre
hip hop,chipmunk soul,subgenre
chipmunk soul,soul,influenced by
indietronica,chillwave,subgenre
electronic,chillsynth,subgenre
chillsynth,chillwave,influenced by
chillsynth,synthwave,influenced by
dubstep,chillstep,subgenre
chillstep,downtempo,influenced by
chilena,cueca,influenced by
hip hop,chicano rap,subgenre
soul,chicago soul,subgenre
pop rap,chicago bop,subgenre
chicago bop,drill,influenced by
charanga,son cubano,influenced by
chanson française,chanson réaliste,subgenre
chanson française,chanson à texte,subgenre
indie pop,chamber pop,subgenre
chamber pop,baroque pop,influenced by
contemporary folk,chamber folk,subgenre
chamarrita rioplatense,chamarrita açoriana,influenced by
chalga,dance-pop,fusion of
chalga,folk,fusion of
chachachá,danzón,influenced by
folk rock,celtic rock,subgenre
celtic rock,celtic,influenced by
folk punk,celtic punk,subgenre
celtic punk,celtic,influenced by
new age,celtic new age,subgenre
celtic new age,celtic,influenced by
folk metal,celtic metal,subgenre
celtic metal,celtic,influenced by
celtic,irish folk,subgenre
folk,celtic,subgenre
electronic,horror synth,subgenre
synthwave,darksynth,subgenre
darksynth,electro-industrial,influenced by
darksynth,horror synth,influenced by
darksynth,metal,influenced by
drum and bass,darkstep,subgenre
dark wave,new wave,influenced by
dark wave,synth-pop,influenced by
psytrance,dark psytrance,subgenre
jazz,dark jazz,subgenre
dark jazz,dark ambient,influenced by
neofolk,dark folk,subgenre
dark folk,ambient,influenced by
electro-industrial,dark electro,subgenre
dark electro,ebm,influenced by
dark cabaret,cabaret,influenced by
danzón,habanera,influenced by
mambo,danzón,influenced by
vaporwave,mallsoft,subgenre
vaporwave,broken transmission,subgenre
pop,dansband,subgenre
dansband,schlager,influenced by
dansband,swing,influenced by
sōkyoku,danmono,subgenre
dancehall,ragga,subgenre
dancehall,shatta,subgenre
reggae,dancehall,subgenre
rock,dance-rock,subgenre
dance-rock,boogie,influenced by
dance-rock,post-punk,influenced by
post-punk,dance-punk,subgenre
dance-punk,disco,influenced by
dance-punk,funk,influenced by
pop,dance-pop,subgenre
dance-pop,dance,influenced by
dance-pop,disco,influenced by
hardcore punk,d-beat,subgenre
d-beat,anarcho-punk,influenced by
d-beat,metal,influenced by
norteño,duranguense,subgenre
electronic,dungeon synth,subgenre
dungeon synth,ambient,influenced by
dungeon synth,black metal,influenced by
dubwise,dub,influenced by
dubwise,reggae,influenced by
indie rock,dunedin sound,subgenre
belgian techno,ebm,influenced by
minimal techno,dub techno,subgenre
dub techno,dub,influenced by
poetry,dub poetry,subgenre
dub poetry,dub,influenced by
dub poetry,reggae,influenced by
reggae,dub,subgenre
drum and bass,drumstep,subgenre
drumstep,brostep,influenced by
drumstep,jump up,influenced by
hip hop,drumless hip hop,subgenre
belgian techno,new beat,influenced by
metal,drone metal,subgenre
drone metal,dark ambient,influenced by
drone metal,drone,influenced by
drone metal,noise,influenced by
drum and bass,drill and bass,subgenre
idm,drill and bass,subgenre
trap,drill,subgenre
drill,footwork,influenced by
electronic,drift phonk,subgenre
drift phonk,memphis rap,influenced by
vaporwave,dreampunk,subgenre
dreampunk,ambient,influenced by
dreampunk,progressive electronic,influenced by
trance,dream trance,subgenre
dream trance,eurodance,influenced by
dream trance,progressive house,influenced by
alternative rock,dream pop,subgenre
electronic,downtempo,subgenre
downtempo,ambient,influenced by
hardcore techno,doomcore,subgenre
doom metal,funeral doom metal,subgenre
doom metal,traditional doom metal,subgenre
metal,doom metal,subgenre
r&b,doo-wop,subgenre
indie pop,donosti sound,subgenre
donosti sound,twee pop,influenced by
hard house,hardbass,subgenre
hard house,donk,subgenre
progressive metal,djent,subgenre
jazz,dixieland,subgenre
dixieland,blues,influenced by
dixieland,ragtime,influenced by
diva house,hardbag,subgenre
house,diva house,subgenre
technical death metal,dissonant death metal,subgenre
disco polo,dance-pop,fusion of
disco polo,folk,fusion of
disco,funk,influenced by
disco,philly soul,influenced by
southern hip hop,dirty south,subgenre
digital hardcore,hardcore punk,fusion of
digital hardcore,hardcore techno,fusion of
digital cumbia,cumbia argentina,fusion of
digital cumbia,electronic,fusion of
hip hop,digicore,subgenre
digicore,edm,influenced by
digicore,trap,influenced by
hindustani classical,dhrupad,subgenre
trap,detroit trap,subgenre
techno,detroit techno,subgenre
stoner rock,desert rock,subgenre
desert blues,blues rock,fusion of
desert blues,folk,fusion of
pop,denpa,subgenre
denpa,j-pop,influenced by
denpa,synth-pop,influenced by
soca,dennery segment,subgenre
dennery segment,kuduro,influenced by
dembow,dancehall,influenced by
dembow,hip hop,influenced by
reggaeton,dancehall,influenced by
reggaeton,hip hop,influenced by
blues,delta blues,subgenre
techno,deep techno,subgenre
soul,deep soul,subgenre
deep soul,blues,influenced by
deep soul,gospel,influenced by
house,deep house,subgenre
funk,deep funk,subgenre
edm,deconstructed club,subgenre
deconstructed club,post-industrial,influenced by
brostep,deathstep,subgenre
deathstep,metal,influenced by
punk rock,deathrock,subgenre
deathrock,gothic rock,influenced by
deathgrind,death metal,fusion of
deathgrind,grindcore,fusion of
deathcore,death metal,fusion of
deathcore,metalcore,fusion of
doom metal,death-doom metal,subgenre
death-doom metal,death metal,influenced by
metal,death metal,subgenre
industrial,death industrial,subgenre
death industrial,dark ambient,influenced by
death industrial,noise,influenced by
death industrial,power electronics,influenced by
death metal,death 'n' roll,subgenre
death 'n' roll,hard rock,influenced by
death 'n' roll,heavy metal,influenced by
speedcore,extratone,subgenre
hip hop,experimental hip hop,subgenre
rock,experimental rock,subgenre
big band,experimental big band,subgenre
experimental big band,avant-garde jazz,influenced by
easy listening,exotica,subgenre
singer-songwriter,euskal kantagintza berria,subgenre
pop,europop,subgenre
dance,eurodance,subgenre
dance,eurobeat,subgenre
eurobeat,hi-nrg,influenced by
eurobeat,italo-disco,influenced by
disco,euro-disco,subgenre
house,euro house,subgenre
jazz,ethio-jazz,subgenre
ethio-jazz,folk,influenced by
dark wave,ethereal wave,subgenre
ethereal wave,dream pop,influenced by
ethereal wave,gothic rock,influenced by
traditional doom metal,epic doom metal,subgenre
epic doom metal,heavy metal,influenced by
post-industrial,epic collage,subgenre
epic collage,deconstructed club,influenced by
enka,ryūkōka,influenced by
screamo,emoviolence,subgenre
emoviolence,powerviolence,influenced by
emo,emocore,subgenre
post-hardcore,emocore,subgenre
emo pop,emo,fusion of
emo pop,pop punk,fusion of
emo rap,emo,fusion of
emo rap,hip hop,fusion of
emo,midwest emo,subgenre
alternative rock,emo,subgenre
post-hardcore,emo,subgenre
coco,embolada,subgenre
surf rock,eleki,subgenre
electrotango,electronic,fusion of
electrotango,nuevo tango,fusion of
punk,electropunk,subgenre
electropunk,electronic,influenced by
pop,electropop,subgenre
electropop,edm,influenced by
electropop,synth-pop,influenced by
electronicore,edm,fusion of
electronicore,metalcore,fusion of
electronic,electronica,subgenre
industrial,electro-industrial,subgenre
electro-industrial,ebm,influenced by
funk,electro-funk,subgenre
electro swing,electronic,fusion of
electro swing,swing,fusion of
edm,electro latino,subgenre
electro latino,bachata,influenced by
electro latino,merengue,influenced by
house,electro house,subgenre
dance,electro,subgenre
electric blues,electric texas blues,subgenre
electric texas blues,jazz,influenced by
blues,electric blues,subgenre
electronic,edm,subgenre
post-industrial,ebm,subgenre
ebm,electronic,influenced by
ebm,industrial,influenced by
pop punk,easycore,subgenre
pop,easy listening,subgenre
hip hop,east coast hip hop,subgenre
free improvisation,eai,subgenre
edm,future rave,subgenre
future rave,melodic techno,influenced by
future rave,peak time techno,influenced by
future rave,tech house,influenced by
electronic,futurepop,subgenre
futurepop,ebm,influenced by
futurepop,synth-pop,influenced by
house,future house,subgenre
future house,electro house,influenced by
future house,garage house,influenced by
future house,uk garage,influenced by
uk garage,future garage,subgenre
future garage,2-step,influenced by
house,future funk,subgenre
future funk,vaporwave,influenced by
future core,j-core,influenced by
future core,kawaii future bass,influenced by
future bass,future core,subgenre
future bass,kawaii future bass,subgenre
edm,future bass,subgenre
future bass,trap edm,influenced by
future bass,wonky,influenced by
house,funky house,subgenre
funky house,funk,influenced by
electronic,funktronica,subgenre
funktronica,italo-disco,influenced by
funktronica,synth funk,influenced by
edm,funkot,subgenre
funkot,eurodance,influenced by
funkot,koplo,influenced by
funkot,trance,influenced by
sertanejo universitário,funknejo,subgenre
funknejo,funk brasileiro,influenced by
funk rock,funk,fusion of
funk rock,rock,fusion of
funk brasileiro,funk proibidão,subgenre
funk brasileiro,funk ostentação,subgenre
funk ostentação,pop rap,influenced by
funk metal,funk rock,fusion of
funk metal,metal,fusion of
freestyle,dance-pop,influenced by
freestyle,disco,influenced by
freestyle,electro,influenced by
freestyle,hip hop,influenced by
funk brasileiro,funk melody,subgenre
funk melody,contemporary r&b,influenced by
funk melody,dance-pop,influenced by
funk melody,freestyle,influenced by
funk brasileiro,funk mandelão,subgenre
funk mandelão,edm,influenced by
funk brasileiro,electro,influenced by
funk brasileiro,hip hop,influenced by
funk brasileiro,miami bass,influenced by
funk,jazz,influenced by
funk,r&b,influenced by
funk,soul,influenced by
funeral doom metal,death-doom metal,influenced by
frevo,marchinha,influenced by
frevo,maxixe,influenced by
hardcore techno,frenchcore,subgenre
house,french house,subgenre
french house,disco,influenced by
french house,funk,influenced by
electro house,french electro,subgenre
french electro,electroclash,influenced by
hardcore techno,freeform hardcore,subgenre
freeform hardcore,hard trance,influenced by
techno,free tekno,subgenre
jazz,free jazz,subgenre
free improvisation,free jazz,influenced by
free improvisation,modern classical,influenced by
psychedelic folk,free folk,subgenre
free folk,american primitive guitar,influenced by
free folk,drone,influenced by
free folk,free improvisation,influenced by
rock,freakbeat,subgenre
edm,freestyle,subgenre
freakbeat,beat music,influenced by
freakbeat,british rhythm & blues,influenced by
freakbeat,pop rock,influenced by
freakbeat,psychedelic,influenced by
psychedelic folk,freak folk,subgenre
forró,forró eletrônico,subgenre
forró,forró universitário,subgenre
forró universitário,funk,influenced by
forró universitário,rock,influenced by
forró,baião,influenced by
edm,footwork,subgenre
footwork,ghetto house,influenced by
footwork,hip hop,influenced by
footwork,juke,influenced by
electronic,folktronica,subgenre
folktronica,folk,influenced by
folkhop,bhangra,influenced by
folkhop,hip hop,influenced by
rock,folk rock,subgenre
folk rock,folk,influenced by
punk,folk punk,subgenre
folk punk,folk,influenced by
folk pop,contemporary folk,fusion of
folk pop,pop,fusion of
metal,folk metal,subgenre
folk metal,folk,influenced by
dancehall,flex dance music,subgenre
flex dance music,edm,influenced by
electronic,flashcore,subgenre
flashcore,idm,influenced by
flashcore,speedcore,influenced by
campursari,gamelan,influenced by
dark psytrance,psycore,subgenre
western classical,cantata,subgenre
outsider house,lo-fi house,subgenre
lo-fi house,deep house,influenced by
musical,rock musical,subgenre
rock musical,rock,influenced by
pop,flamenco pop,subgenre
flamenco pop,copla,influenced by
flamenco pop,flamenco,influenced by
flamenco pop,rumba flamenca,influenced by
flamenco jazz,jazz,fusion of
flamenco jazz,nuevo flamenco,fusion of
flamenco,nuevo flamenco,subgenre
tango,finnish tango,subgenre
contemporary folk,filk,subgenre
bolero,filin,subgenre
filin,vocal jazz,influenced by
electro house,fidget house,subgenre
fidget house,breakbeat hardcore,influenced by
fandango,fandango caiçara,subgenre
fado,fado de coimbra,subgenre
punk rock,gypsy punk,subgenre
gypsy punk,folk,influenced by
gypsy punk,klezmer,influenced by
jazz,gypsy jazz,subgenre
gypsy jazz,folk,influenced by
spoken word,guided meditation,subgenre
guaracha,jácara,influenced by
guajira,punto,influenced by
rumba cubana,guaguancó,subgenre
alternative rock,grunge,subgenre
beat music,group sounds,subgenre
group sounds,eleki,influenced by
metal,groove metal,subgenre
groove metal,thrash metal,influenced by
grindcore,hardcore punk,fusion of
grindcore,metal,fusion of
edm,grime,subgenre
grime,2-step,influenced by
grime,drum and bass,influenced by
grime,hip hop,influenced by
grime,jungle,influenced by
plainchant,gregorian chant,subgenre
alternative rock,grebo,subgenre
grebo,alternative dance,influenced by
grebo,hip hop,influenced by
grebo,punk rock,influenced by
house,gqom,subgenre
gqom,kwaito,influenced by
rock,gothic rock,subgenre
gothic rock,post-punk,influenced by
metal,gothic metal,subgenre
gothic metal,gothic rock,influenced by
alternative country,gothic country,subgenre
reggae,gospel reggae,subgenre
goregrind,gorenoise,subgenre
gorenoise,noise,influenced by
grindcore,goregrind,subgenre
goregrind,death metal,influenced by
belgian techno,techno,influenced by
psytrance,goa trance,influenced by
funk,go-go,subgenre
indietronica,glitch pop,subgenre
glitch pop,glitch,influenced by
glitch pop,idm,influenced by
glitch pop,pop,influenced by
glitch hop,hip hop,fusion of
glitch hop,idm,fusion of
electronic,glitch,subgenre
rock,glam rock,subgenre
glam rock,pop rock,influenced by
glam rock,rock and roll,influenced by
glam punk,glam rock,fusion of
glam punk,proto-punk,fusion of
hard rock,glam metal,subgenre
glam metal,glam rock,influenced by
edm,ghettotech,subgenre
ghettotech,detroit techno,influenced by
ghettotech,electro,influenced by
ghettotech,ghetto house,influenced by
ghettotech,miami bass,influenced by
house,ghetto house,subgenre
hip hop,genge,subgenre
genge,dancehall,influenced by
garage rock,garage rock revival,subgenre
garage rock revival,alternative rock,influenced by
garage rock revival,indie rock,influenced by
garage rock revival,post-punk,influenced by
rock,garage rock,subgenre
garage punk,garage rock,fusion of
garage punk,punk rock,fusion of
house,garage house,subgenre
garage house,disco,influenced by
hip hop,gangsta rap,subgenre
gamelan,balinese gamelan,subgenre
gamelan,javanese gamelan,subgenre
balinese gamelan,gamelan semar pegulingan,subgenre
javanese gamelan,gamelan sekaten,subgenre
balinese gamelan,gamelan jegog,subgenre
balinese gamelan,gamelan gong kebyar,subgenre
balinese gamelan,gamelan gong gede,subgenre
balinese gamelan,gamelan gender wayang,subgenre
gamelan,gamelan degung,subgenre
balinese gamelan,gamelan beleganjur,subgenre
balinese gamelan,gamelan angklung,subgenre
gamelan,malay gamelan,subgenre
balinese gamelan,gamelan selunding,subgenre
balinese gamelan,gamelan joged bumbung,subgenre
javanese gamelan,gamelan salendro,subgenre
javanese gamelan,gamelan siteran,subgenre
gambang kromong,gamelan,influenced by
hardcore techno,gabber,subgenre
gabber,acid house,influenced by
gabber,new beat,influenced by
hip hop,g-funk,subgenre
g-funk,p-funk,influenced by
western classical,motet,subgenre
indie rock,hamburger schule,subgenre
hamburger schule,neue deutsche welle,influenced by
hamburger schule,pop,influenced by
hamburger schule,punk rock,influenced by
trance,euro-trance,subgenre
euro-trance,eurodance,influenced by
euro-trance,hard trance,influenced by
edm,hands up,subgenre
hands up,euro-trance,influenced by
hands up,eurodance,influenced by
hardcore techno,happy hardcore,subgenre
jazz,hard bop,subgenre
hard bop,bebop,influenced by
hard bop,gospel,influenced by
hard bop,r&b,influenced by
happy hardcore,bouncy techno,subgenre
bouncy techno,gabber,influenced by
house,hard house,subgenre
hard house,acid house,influenced by
hard house,bouncy techno,influenced by
hard house,breakbeat hardcore,influenced by
hard house,hardbag,influenced by
hard house,hi-nrg,influenced by
rock,hard rock,subgenre
hard rock,acid rock,influenced by
hard rock,blues rock,influenced by
trance,hard trance,subgenre
hard trance,acid trance,influenced by
hardbag,euro house,influenced by
hip hop,hardcore hip hop,subgenre
punk rock,hardcore punk,subgenre
edm,hardcore techno,subgenre
hardcore techno,techno,influenced by
edm,hardstyle,subgenre
hardstyle,gabber,influenced by
hardstyle,hard trance,influenced by
hardstyle,hardcore techno,influenced by
vaporwave,hardvapour,subgenre
hardvapour,hardcore techno,influenced by
hardvapour,idm,influenced by
hardvapour,techno,influenced by
harsh noise,harsh noise wall,subgenre
noise,harsh noise,subgenre
rock,heartland rock,subgenre
heartland rock,contemporary folk,influenced by
heartland rock,country rock,influenced by
heartland rock,pop rock,influenced by
heartland rock,singer-songwriter,influenced by
metal,heavy metal,subgenre
heavy metal,hard rock,influenced by
